,materia_aprobada,nota_final_materia,periodo,integrador,primer_parcial,recuperatorio_primer_parcial,recuperatorio_segundo_parcial,segundo_parcial,evaluacion_diagnostica,api1,api1_score,api1_time_to_submit[days],api2,api2_score,api2_time_to_submit[days],api3,api3_score,api3_time_to_submit[days],api4,api4_score,api4_time_to_submit[days],ed3,ed3_score,ed3_time_to_submit[days],ed4,ed4_score,ed4_time_to_submit[days],otros_trabajos,otros_trabajos_score,tp1,tp1_score,tp1_time_to_submit[days],tp2,tp2_score,tp2_time_to_submit[days],tp3,tp3_score,tp3_time_to_submit[days],tp4,tp4_score,tp4_time_to_submit[days],basic_lti_launch_submits,discussion_topic_submits,external_tool_submits,media_recording_submits,online_quiz_submits,online_text_entry_submits,online_upload_submits
01103370-3046-4bc0-a8f8-85858ec0ec88/2dd2ca01-a672-4eca-aca7-6fbc8cd01953,1,7.0,1-2022,-1,7,-1,-1,7,-1,1,100.0,43.6,1,100.0,51.0,1,100.0,59.9,0,0.0,0.0,1,100.0,80.8,0,0.0,0.0,0,0.0,1,81.67,80.8,1,76.67,80.8,1,90.0,0.0,0,0.0,0.0,0,0,3,0,4,0,0
01103370-3046-4bc0-a8f8-85858ec0ec88/a8c25bca-c5e5-4225-b51e-f61468d20386,1,9.0,1-2022,-1,8,-1,-1,9,-1,1,100.0,44.2,1,100.0,55.7,1,100.0,74.1,0,0.0,0.0,1,75.0,87.7,0,0.0,0.0,0,0.0,1,83.33,86.2,1,93.33,87.7,1,86.67,87.7,0,0.0,0.0,0,0,3,0,4,0,0
01103370-3046-4bc0-a8f8-85858ec0ec88/bf8d7a98-903d-4dea-b4d2-275394aa0a06,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,100.0,22.2,1,100.0,31.1,2,100.0,40.0,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,2,96.0,40.2,2,77.0,40.4,1,74.0,54.2,0,0,4,0,0,0,5
01103370-3046-4bc0-a8f8-85858ec0ec88/d17e238c-c4c6-40d7-8085-801268d6d723,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,100.0,43.5,1,100.0,55.0,1,100.0,73.4,0,0.0,0.0,1,62.5,87.0,1,100.0,87.0,-1,0.0,1,90.0,87.0,1,80.0,87.0,1,70.0,0.0,1,90.0,0.0,0,0,3,0,6,0,0
01103370-3046-4bc0-a8f8-85858ec0ec88/ef072dc2-cf38-4330-a10b-1786cd20da44,1,7.0,1-2022,-1,7,-1,-1,6,-1,1,100.0,43.7,1,100.0,51.0,1,38.5,94.2,1,100.0,109.7,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,70.0,53.1,0,0.0,0.0,0,0.0,0.0,1,70.0,130.2,0,0,4,0,0,0,2
01193bc4-6b73-4fab-9a63-e425a2e397dd/04f8bae9-333a-4269-95b4-bde0b0965cf7,1,8.0,1-2022,-1,6,-1,-1,9,-1,1,72.2,38.1,1,100.0,40.9,1,100.0,64.8,1,100.0,70.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,58.33,38.1,1,73.75,70.0,1,80.0,74.9,0,0.0,0.0,0,0,4,0,3,0,0
01193bc4-6b73-4fab-9a63-e425a2e397dd/36507f58-9271-43bb-94d1-c7fd32c94999,1,10.0,1-2022,-1,9,-1,-1,10,-1,1,100.0,31.0,1,100.0,48.9,1,100.0,64.8,1,100.0,74.9,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,80.0,31.1,1,65.0,70.0,1,73.33,70.0,1,60.42,74.9,0,0,4,0,4,0,0
01193bc4-6b73-4fab-9a63-e425a2e397dd/3fab895d-e5a0-460b-be1c-eb8b4526fc6e,1,10.0,1-2022,-1,9,-1,-1,10,-1,1,100.0,40.2,1,100.0,40.3,1,80.0,68.2,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,95.0,40.3,1,80.0,54.2,1,90.0,83.2,0,0.0,0.0,0,0,3,0,3,0,0
01193bc4-6b73-4fab-9a63-e425a2e397dd/960086b0-ce33-433b-8a62-2975671698c9,1,10.0,1-2022,-1,10,-1,-1,10,-1,1,100.0,40.2,1,100.0,40.3,1,100.0,68.2,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,87.5,40.3,1,65.0,42.3,1,85.0,83.0,0,0.0,0.0,0,0,3,0,3,0,0
01193bc4-6b73-4fab-9a63-e425a2e397dd/d8262ad7-0b2a-4406-9c5a-f5dc54e7a3ef,1,8.0,1-2022,-1,7,-1,-1,9,-1,1,100.0,27.0,1,100.0,43.9,1,81.8,64.8,1,100.0,66.9,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,65.0,27.0,1,53.33,43.9,1,83.33,66.9,1,71.67,67.8,0,0,4,0,4,0,0
01193bc4-6b73-4fab-9a63-e425a2e397dd/f50b2376-0fb1-463b-b7c3-abdb50592520,1,8.0,1-2022,-1,7,-1,-1,8,-1,1,100.0,40.2,1,100.0,40.3,1,100.0,68.2,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,90.0,40.3,1,60.0,82.2,1,60.0,82.2,-1,0.0,-1.0,0,0,3,0,3,0,0
0230ccf5-89ea-4676-b05e-c3403c7b6fd3/06dd5f32-293c-442e-b602-08107eb61ea8,1,9.0,1-2022,-1,8,-1,-1,10,-1,1,83.35,42.0,1,100.0,57.3,1,100.0,68.0,1,70.0,79.3,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,100.0,54.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,1
0230ccf5-89ea-4676-b05e-c3403c7b6fd3/6add6ede-fc78-47b8-a880-3b623f58cf63,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,100.0,31.7,1,100.0,54.7,1,100.0,91.7,1,100.0,122.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,49.9,1,71.0,81.3,1,90.0,101.9,1,65.0,129.8,0,0,4,0,0,0,4
0230ccf5-89ea-4676-b05e-c3403c7b6fd3/9fb5bf9b-b5e3-40ef-b69e-8681fa52cb8d,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,100.0,31.8,1,100.0,56.7,1,100.0,88.7,1,100.0,122.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,1,100.0,80.7,0,0.0,0.0,1,100.0,130.2,0,0,4,0,0,0,2
0230ccf5-89ea-4676-b05e-c3403c7b6fd3/af630619-d048-463a-a62c-5764f36ae1d3,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,100.0,42.8,1,100.0,56.7,1,100.0,84.7,1,100.0,122.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,1,70.0,80.8,1,60.0,101.8,1,60.0,130.3,0,0,4,0,0,0,3
0230ccf5-89ea-4676-b05e-c3403c7b6fd3/e14f5a9d-992e-4d5f-b9e2-a0c723b4219b,1,10.0,1-2022,-1,9,-1,-1,10,-1,1,100.0,41.7,1,100.0,58.0,1,100.0,68.8,1,100.0,80.0,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,100.0,54.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,1
0230ccf5-89ea-4676-b05e-c3403c7b6fd3/fa72c29b-bbfb-4953-b023-5321f95ae41b,1,8.0,1-2022,-1,8,-1,-1,8,-1,1,100.0,42.8,1,100.0,58.0,1,100.0,68.8,1,100.0,80.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,85.0,55.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,1
02323a7a-120c-485d-99b1-6247a57c46e4/04f8bae9-333a-4269-95b4-bde0b0965cf7,1,6.0,1-2022,-1,6,-1,-1,6,81,1,77.8,25.6,1,77.3,26.6,1,78.9,27.7,1,100.0,50.7,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,70.0,38.1,1,83.75,42.1,1,81.67,48.7,1,78.33,50.8,0,0,4,0,5,0,0
